ID;FROM;TO;WEEK-DAY;HOUR;PRICE;TYPE
1;Canindezinho;Canindezinho;1;1;5.24;1
2;Genibaú;Canindezinho;6;17;22.16;1
3;Siqueira;Parque Presidente Vargas;6;8;26;1
4;Canindezinho;Canindezinho;4;12;6.13;1
5;Canindezinho;Siqueira;7;18;16.75;1
6;Parque Presidente Vargas;Siqueira;2;19;24.27;1
7;Parque Presidente Vargas;Parque Presidente Vargas;4;12;5.59;1
8;Parque Presidente Vargas;Siqueira;2;20;6.94;1
9;Parque Presidente Vargas;Parque Presidente Vargas;1;13;7.26;1
10;Parque Presidente Vargas;Siqueira;2;15;16.86;1
11;Parque Presidente Vargas;Genibaú;7;6;6.27;1
12;Genibaú;Genibaú;5;12;7.15;1
13;Parque Presidente Vargas;Canindezinho;6;12;13.07;1
14;Parque Presidente Vargas;Siqueira;3;18;12.9;1
15;Canindezinho;Siqueira;2;16;6.45;1
16;Siqueira;Siqueira;4;17;7.56;1
17;Parque Presidente Vargas;Siqueira;6;12;17.87;1
18;Genibaú;Siqueira;4;14;9.46;1
19;Canindezinho;Siqueira;6;14;17.16;1
20;Parque Presidente Vargas;Canindezinho;7;1;13.64;1
21;Parque Presidente Vargas;Canindezinho;6;11;21.96;1
22;Genibaú;Canindezinho;2;13;24.87;1
23;Siqueira;Genibaú;7;2;21.02;1
24;Siqueira;Genibaú;5;8;24.84;1
25;Genibaú;Canindezinho;1;20;6.79;1
26;Siqueira;Siqueira;2;20;5.96;1
27;Parque Presidente Vargas;Genibaú;1;10;24.55;1
28;Genibaú;Parque Presidente Vargas;1;22;20.86;1
29;Parque Presidente Vargas;Genibaú;6;17;22.86;1
30;Canindezinho;Genibaú;6;24;22.28;1
31;Canindezinho;Siqueira;1;8;19.92;1
32;Genibaú;Siqueira;1;0;18.13;1
33;Siqueira;Genibaú;4;23;9.08;1
34;Parque Presidente Vargas;Parque Presidente Vargas;7;21;4.52;1
35;Canindezinho;Siqueira;2;9;26.52;1
36;Parque Presidente Vargas;Canindezinho;6;9;20.07;1
37;Siqueira;Genibaú;3;14;10.28;1
38;Genibaú;Parque Presidente Vargas;7;16;24.36;1
39;Siqueira;Parque Presidente Vargas;2;18;18;1
40;Siqueira;Parque Presidente Vargas;1;7;11.44;1
41;Parque Presidente Vargas;Canindezinho;6;9;13.27;1
42;Parque Presidente Vargas;Parque Presidente Vargas;7;9;8.36;1
43;Siqueira;Parque Presidente Vargas;6;10;24.23;1
44;Genibaú;Canindezinho;3;7;13.58;1
45;Genibaú;Parque Presidente Vargas;5;18;26.25;1
46;Parque Presidente Vargas;Parque Presidente Vargas;1;3;4.79;1
47;Genibaú;Siqueira;4;9;21.85;1
48;Parque Presidente Vargas;Canindezinho;5;9;11.29;1
49;Parque Presidente Vargas;Genibaú;4;8;13.39;1
50;Canindezinho;Siqueira;1;11;15.01;1
51;Genibaú;Siqueira;3;14;18.88;1
52;Siqueira;Genibaú;3;22;21.2;1
53;Siqueira;Siqueira;7;20;3.92;1
54;Parque Presidente Vargas;Canindezinho;1;14;16.76;1
55;Genibaú;Siqueira;6;8;13.88;1
56;Canindezinho;Siqueira;1;19;10.98;1
57;Genibaú;Canindezinho;2;9;12.91;1
58;Parque Presidente Vargas;Canindezinho;1;5;8.34;1
59;Parque Presidente Vargas;Canindezinho;1;0;16.13;1
60;Siqueira;Siqueira;4;8;7.2;1
61;Canindezinho;Siqueira;5;18;10.27;1
62;Siqueira;Genibaú;7;21;9.72;1
63;Parque Presidente Vargas;Genibaú;4;21;12.45;1
64;Siqueira;Canindezinho;5;8;19.54;1
65;Parque Presidente Vargas;Siqueira;1;17;9.08;1
66;Canindezinho;Siqueira;3;24;23.75;1
67;Canindezinho;Canindezinho;1;9;6.99;1
68;Siqueira;Canindezinho;2;12;12.96;1
69;Siqueira;Genibaú;3;15;23.97;1
70;Canindezinho;Genibaú;7;24;20.73;1
71;Parque Presidente Vargas;Parque Presidente Vargas;5;15;5.92;1
72;Canindezinho;Parque Presidente Vargas;6;10;12.12;1
73;Canindezinho;Parque Presidente Vargas;2;8;25.85;1
74;Siqueira;Canindezinho;6;9;15.56;1
75;Genibaú;Siqueira;7;15;8.15;1
76;Siqueira;Canindezinho;1;8;12.08;1
77;Parque Presidente Vargas;Siqueira;7;23;20.79;1
78;Genibaú;Siqueira;1;14;13.54;1
79;Parque Presidente Vargas;Parque Presidente Vargas;1;2;5.82;1
80;Canindezinho;Genibaú;6;13;9.9;1
81;Canindezinho;Canindezinho;4;13;5.46;1
82;Siqueira;Genibaú;1;10;13.43;1
83;Canindezinho;Siqueira;6;13;13.55;1
84;Genibaú;Canindezinho;4;24;14.37;1
85;Parque Presidente Vargas;Parque Presidente Vargas;6;11;6.92;1
86;Canindezinho;Siqueira;7;22;22.58;1
